name,url,price
"Redmi Note 7 Pro (Neptune Blue, 128 GB)",https://www.flipkart.com/redmi-note-7-pro-neptune-blue-128-gb/p/itmffdudreuhph5y?pid=MOBFDXZ3Z8WBPDWK&lid=LSTMOBFDXZ3Z8WBPDWKD1VE3Q&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFDXZ3Z8WBPDWK.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹13,999"
"Redmi Note 7 Pro (Space Black, 64 GB)",https://www.flipkart.com/redmi-note-7-pro-space-black-64-gb/p/itmfhvuexbzu6fjd?pid=MOBFHUQ4ZPZX89G6&lid=LSTMOBFHUQ4ZPZX89G6KSIIC2&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFHUQ4ZPZX89G6.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹12,999"
"Redmi Note 7 Pro (Space Black, 128 GB)",https://www.flipkart.com/redmi-note-7-pro-space-black-128-gb/p/itmfdxz6j7sdhf4c?pid=MOBFDXZ3TFDKZYHU&lid=LSTMOBFDXZ3TFDKZYHUTNPXQR&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFDXZ3TFDKZYHU.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹13,999"
"Redmi Note 6 Pro (Red, 64 GB)",https://www.flipkart.com/redmi-note-6-pro-red-64-gb/p/itmfb2fbghwznj5d?pid=MOBFAJB4RHKJHDJD&lid=LSTMOBFAJB4RHKJHDJDRBZWBG&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFAJB4RHKJHDJD.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹11,999"
"Redmi Note 8 (Neptune Blue, 128 GB)",https://www.flipkart.com/redmi-note-8-neptune-blue-128-gb/p/itm16c6c50702ff1?pid=MOBFHGTDVHK5CFG5&srno=b_1_5&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFHGTDVHK5CFG5.SEARCH&ssid=iej1q9s0pc0000001591261969745,
"Redmi Note 7 Pro (Space Black, 64 GB)",https://www.flipkart.com/redmi-note-7-pro-space-black-64-gb/p/itmfegkx2gufuzhp?pid=MOBFDXZ36Y4DJBGM&lid=LSTMOBFDXZ36Y4DJBGMWJSP9M&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFDXZ36Y4DJBGM.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹10,999"
"Redmi Note 4 (Gold, 64 GB)",https://www.flipkart.com/redmi-note-4-gold-64-gb/p/itmeqg86fjyzkdq8?pid=MOBEQ98MNXHY4RU9&lid=LSTMOBEQ98MNXHY4RU9HWK2LC&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBEQ98MNXHY4RU9.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹12,999"
"Redmi Note 7 Pro (Nebula Red, 128 GB)",https://www.flipkart.com/redmi-note-7-pro-nebula-red-128-gb/p/itmffyqg5qhzzh4z?pid=MOBFDXZ3TYYTK3UT&lid=LSTMOBFDXZ3TYYTK3UTK2S3OP&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFDXZ3TYYTK3UT.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹13,999"
"Mi A3 (More Than White, 128 GB)",https://www.flipkart.com/mi-a3-more-than-white-128-gb/p/itm2078a43b894ef?pid=MOBFJM4ZUSWWPXPN&lid=LSTMOBFJM4ZUSWWPXPNKB70UV&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFJM4ZUSWWPXPN.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹14,999"
"Redmi 8A (Ocean Blue, 32 GB)",https://www.flipkart.com/redmi-8a-ocean-blue-32-gb/p/itm1f8d1cbb1d232?pid=MOBFKF98BHTYSAHZ&lid=LSTMOBFKF98BHTYSAHZQZD5DI&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFKF98BHTYSAHZ.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹6,999"
